	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
1054	Voce e apresentado(a) a um jovem empreendedor com uma ideia de negocio inovadora. Sua paixao e visao capturam sua atencao.	Вас знайомлять з молодим підприємцем з інноваційною бізнес-ідеєю. Його пристрасть і бачення привертають вашу увагу.	革新的なビジネスアイデアを持つ若い起業家を紹介されました。その情熱とビジョンがあなたの心を捉えます。	혁신적인 사업 아이디어를 가진 젊은 사업가를 소개받았습니다. 그 열정과 비전은 확실히 눈길을 사로잡을 만했습니다.	有人向您引荐了一位怀揣着创新理念的年轻创业者。对方洋溢的热情和宏大的愿景，成功吸引了您的注意。	有人向您引薦了一位懷揣著創新理念的年輕創業者。對方洋溢的熱情和宏大的願景，成功吸引了您的注意。	In-game message (UI)
1055	Evento de networking	Подія для нетворкінгу	ネットワーキングイベント	인맥 형성 행사	交流活动	交流活動	UI
1056	Tecnologia Inovadora	Інноваційні технології	革新的技術	혁신적 기술	创新技术	創新技術	UI
1057	Durante o evento de networking, voce e atraido(a) para um jogo de poker de alto risco com alguns dos participantes. Contando com as suas habilidades e a sua intuicao, voce consegue ganhar uma quantia significativa de dinheiro, aumentando seu sucesso financeiro e conquistando o respeito de seus colegas jogadores.	Під час нетворкінг-заходу вас втягують у гру в покер з високими ставками з кількома присутніми. Покладаючись на свої навички та інтуїцію, вам вдається виграти значну суму грошей, підвищити свій фінансовий успіх і завоювати повагу колег-гравців.	ネットワーキングイベントの最中、参加者の何人かが始めた賭け金が高額なポーカーゲームにあなたは引き込まれます。あなたは自分のポーカーのテクニックと直感を頼りに多額の賞金を勝ち取り、経済的な成功も収め、ポーカー仲間からも尊敬を集めることができました。	당신은 인맥 형성 행사에서 참석자 일부와 함께 높은 판돈을 걸고 포커를 치게 되었습니다. 여기서 스스로의 기량과 직관으로 상당한 액수의 돈을 획득하면서 횡재를 한 것은 물론, 같이 플레이를 하던 사람들의 인정도 받을 수 있었습니다.	在交流活动中，您参与了一场高风险的扑克游戏。凭借您的技巧和直觉，您成功赢得了一大笔钱，不仅让您的财富更上一层楼，更在牌桌上赢得了对手的尊重。	在交流活動中，您參與了一場高風險的撲克遊戲。憑藉您的技巧和直覺，您成功贏得了一大筆錢，不僅讓您的財富更上一層樓，更在牌桌上贏得了對手的尊重。	In-game message (UI)
1058	Voce recebeu uma oportunidade para participar de um torneio de golfe de alto risco com lideres da industria. Suas habilidades de golfe estao enferrujadas e a taxa de inscricao e alta. Voce deveria arriscar e entrar na competicao?	Вам запропонували взяти участь у турнірі з гольфу з високими ставками серед лідерів індустрії. Ваші навички гри в гольф вже трохи забулися, а вступний внесок дуже високий. Чи варто ризикнути і взяти участь у змаганні?	業界のリーダーたちが集う高額賞金のゴルフコンペに参加するチャンスが与えられました。あなたのゴルフの腕は錆びついており、参加費も高額です。リスクを冒して大会に参加しますか？	재계의 리더들이 높은 상금을 걸고 진행하는 골프 대회의 참가 제안을 받았습니다. 하지만 당신의 골프 실력은 녹슬었고 참가비도 만만치 않습니다. 이런 위험을 감수하고 대회에 참가해 볼까요?	您有机会参加一个由行业领袖举办的高风险高尔夫锦标赛。您的高尔夫球技已有些生疏，而报名费又相当高昂。您应该冒险参加比赛吗？	您有機會參加一個由行業領袖舉辦的高風險高爾夫錦標賽。您的高爾夫球技已有些生疏，而報名費又相當高昂。您應該冒險參加比賽嗎？	In-game message (UI)
1059	Apesar de suas habilidades enferrujadas de golfe, voce consegue executar um impressionante lance durante a competicao. Esse golpe de sorte chama a atencao dos lideres da industria, levando a conversas interessantes e oportunidades de negocios potenciais. Voce tambem ganhou um {golfprize}.	Незважаючи на слабкі навички гри в гольф, вам вдається зробити вражаючий удар під час змагання. Цей удар привертає увагу лідерів галузі, що призводить до цікавих розмов і потенційних бізнес-можливостей. Ви також виграли {golfprize}.	錆びついたゴルフの腕前にもかかわらず、あなたはコンペで見事なショットを披露します。この幸運が業界のリーダーたちの目に留まり、興味深い会話や有望なビジネスチャンスにつながりました。また、賞金{golfprize}も獲得しました。	녹슬어 버린 골프 실력에도 불구하고, 당신은 대회에서 멋진 샷을 선보였습니다. 이런 행운은 재계 리더들의 눈에 톡톡히 띄면서 흥미로운 대화와 유망한 비즈니스의 기회로 이어졌습니다. 또 상금으로 {golfprize}을 받기도 했습니다.	尽管您的高尔夫球技生疏，但您还是在比赛中打出了令人印象深刻的一杆。这一幸运之举引起了行业领导者的注意，引发了有趣的对话和潜在的商业机会。您还赢得了 {golfprize}。	儘管您的高爾夫球技生疏，但您還是在比賽中打出了令人印象深刻的一桿。這一幸運之舉引起了行業領導者的注意，引發了有趣的對話和潛在的商業機會。您還贏得了 {golfprize}。	In-game message (UI)
1060	Infelizmente, suas habilidades enferrujadas de golfe nao melhoram durante a competicao e voce termina perto do final. Apesar do seu mau desempenho, voce e habil fazer networking com lideres da industria e fazer conexoes valiosas que podem beneficiar seu negocio.	На жаль, ваші погані навички гри в гольф не покращилися під час змагання, і ви посіли останнє місце. Незважаючи на поганий результат, ви змогли поспілкуватися з лідерами галузі та встановити цінні зв'язки, які можуть принести користь вашому бізнесу.	残念ながら、錆びついたゴルフの腕前はコンペ中にも伸びることはなく、あなたは最下位に近い成績に終わりました。しかし、ゴルフコンペでの成績は振るわなかったものの、業界のリーダーたちとのつながりを築き、ビジネスに役立つ貴重な人脈をつくることができました。	안타깝게도 당신의 녹슬어 버린 골프 실력은 대회를 진행하면서도 딱히 나아지지 않았기에 최하위권을 기록할 수밖에 없었습니다. 대회 성적은 좋지 않았지만, 그래도 재계의 리더들과 인맥을 형성하고 비즈니스에 도움이 될 수 있는 소중한 관계를 쌓을 수 있었습니다.	不幸的是，您生疏的高尔夫球技在比赛中毫无长进，最终排名垫底。尽管成绩不佳，您还是成功地与行业领袖们搭上了话，并结识了能裨益于您事业的宝贵人脉。	不幸的是，您生疏的高爾夫球技在比賽中毫無長進，最終排名墊底。儘管成績不佳，您還是成功地與行業領袖們搭上了話，並結識了能裨益於您事業的寶貴人脈。	In-game message (UI)
1061	Torneio de golf	Турнір з гольфу	ゴルフコンペ	골프 대회	高尔夫锦标赛	高爾夫錦標賽	UI
1062	Voce perdeu sua carteira. Havia {shtraf} nela.	Ви загубили гаманець. У ньому було {shtraf}.	財布をなくしてしまいました。財布には{shtraf}が入っていました。	지갑을 잃어버렸습니다. {shtraf}이나 들어 있었는데.	您的钱包丢了，里面有 {shtraf}。	您的錢包丟了，裡面有 {shtraf}。	In-game message (UI)
1063	Um membro proximo da familia adoeceu e requer tratamento medico urgente nao coberto pelo seguro. Voce decide ajudar a cobrir suas despesas medicas. Custou {shtraf}.	Близький член сім'ї захворів і потребує термінового лікування, яке не покривається страховкою. Ви вирішили допомогти покрити його медичні витрати. Це коштувало {shtraf} єн.	近親者が病気になり、保険適用外の緊急治療が必要になりました。あなたはその医療費を援助することにしました。費用は{shtraf}でした。	가까운 친인척이 병으로 급히 입원하면서 보험으로 커버가 되지 않는 치료를 받아야 했습니다. 그래서 치료비 {shtraf}만큼을 도와주기로 했습니다.	一位近亲生病，需要紧急治疗，但不在保险范围内。您决定帮助支付他们的医疗费用。费用为 {shtraf}。	一位近親生病，需要緊急治療，但不在保險範圍內。您決定幫助支付他們的醫療費用。費用為 {shtraf}。	In-game message (UI)
1064	Ha um incendio! Sua casa <name_house> foi completamente queimada! Felizmente, voce nao se feriu. A empresa de seguros pagou a voce {prpr}.	Пожежа! Ваш будинок <name_house> повністю згорів! Нащастя, ви не постраждали. Страхова компанія сплатила вам {prpr}.	火事です！あなたの家<name_house>が全焼してしました！幸いなことに、あなたに怪我はありませんでした。保険会社から保険金{prpr}が支払われました。	불이야! 소유한 부동산 중 <name_house>에 불이 나서 완전히 잿더미가 되어 버렸습니다! 천만다행으로 당신은 전혀 다치지 않았습니다. 보험사에서 {prpr}의 보험금을 지급했습니다.	着火了！您的房子 <name_house> 被完全烧毁了！幸运的是，您没有受伤。保险公司向您支付了 {prpr}。	著火了！您的房子 <name_house> 被完全燒毀了！幸運的是，您沒有受傷。保險公司向您支付了 {prpr}。	In-game message (UI)
1065	Nos temos observado seu progresso e devemos dizer que voce fez realmente um nome a si mesmo. Nos gostariamos de estender uma oferta de cooperacao. Com nossas conexoes e recursos, podemos ajuda-lo(a) a expandir seu imperio ainda mais.##Se voce concorda, nos o(a) ajudaremos com varios problemas.##Nos temos um acordo?	Ми спостерігаємо за вашими успіхами, і мусимо сказати, що ви вже зробили собі ім'я. Ми хочемо запропонувати вам співпрацю. З нашими зв'язками і ресурсами ми можемо допомогти вам розширити вашу імперію ще більше.##Якщо ви погодитеся, ми будемо допомагати вам у різних питаннях.##Домовилися?	我々はあんたの活躍を見守ってきたが、あんた、ずいぶん名をあげたな。そこで協力の申し出をしたい。我々の人脈とリソースで、あんたの帝国をさらに拡大するお手伝いをさせてもらおうというわけだ。##同意するなら、さまざまな問題で我々はあんたに手を貸す。##どうだい、取引成立かね？	요새 댁이 크는 꼴을 지켜 봤는데 말이야, 꽤 잘나가는 것 같더라고. 그래서 손을 한번 잡아 보는 게 어떤가 싶어서. 우리의 연줄과 도움만 있다면 댁의 사업을 훨씬 더 확장할 수 있다고.##댁이 동의만 한다면 우린 아주 다양한 문제를 처리하는데 도움을 줄 수 있어.##어때, 손 잡아 볼 텐가?	我们一直在关注您的进展，不得不说，您最近真是风生水起。我们想和您谈一笔合作。凭借我们的关系和资源，我们可以助您进一步扩展您的帝国。##如果您同意，我们将帮助您解决各种问题。##成交吗？	我們一直在關注您的進展，不得不說，您最近真是風生水起。我們想和您談一筆合作。憑藉我們的關係和資源，我們可以助您進一步擴展您的帝國。##如果您同意，我們將幫助您解決各種問題。##成交嗎？	These are yakuza lines.
1066	Uma sabia decisao. Com nosso apoio, voce descobrira que mesmo os desafios mais dificeis se tornam gerenciaveis. Vamos ficar de olho no seu progresso e intervir quando necessario.	Мудре рішення. З нашою підтримкою ви побачите, що навіть найскладніші виклики піддаються вирішенню. Ми будемо стежити за вашим розвитком і підтримаємо вас, коли це буде необхідно.	そりゃー賢明な判断だ。我々が手を貸せば、どんなに困難な問題でも対処できるってことが、いずれお分かりいただけるでしょう。あんたの進捗を見守りながら、必要な場合には我々が面倒見ますよ。	거 똑똑하구만. 우리의 도움만 있다면 아무리 까다로운 문제도 간단히 해결할 수 있을 거야. 앞으로도 계속 지켜보다가 적당할 때 참견하지.	明智的决定。在我们的支持下，您会发现即使是最困难的挑战也变得可以应对。我们将密切关注您的进展，并在必要时介入。	明智的決定。在我們的支持下，您會發現即使是最困難的挑戰也變得可以應對。我們將密切關注您的進展，並在必要時介入。	These are yakuza lines.
1067	Isso e decepcionante. Nos pensavamos que voce tinha um melhor julgamento. Tenha cuidado la fora, o mundo dos negocios pode ser bastante impiedoso, especialmente para aqueles que recusam nossa ajuda.	Я розчарований. Ми думали, що ви більш розсудливі. Будьте обережні, світ бізнесу може бути досить жорстоким, особливо до тих, хто відмовляється від нашої допомоги.	そりゃーがっかりだな。あんたにはもっと判断力があると思っていたんだが。まあ気をつけてくださいな。ビジネスの世界は情け容赦ないからねぇ。特に我々の支援を拒む者はね。	거 실망스럽구만. 더 똑똑한 양반일 줄 알았는데 말이야. 그럼 밤길 조심하라고, 비즈니스의 세계는 무자비하니까. 특히나 우리의 제안을 무시한 놈들에겐 더더욱.	真让人失望。我们还以为您有很好的判断力呢。在外头自己多加小心吧，这生意场上，没人会手下留情——尤其是对那些不领情的人。	真讓人失望。我們還以為您有很好的判斷力呢。在外頭自己多加小心吧，這生意場上，沒人會手下留情——尤其是對那些不領情的人。	These are yakuza lines.
1068	Nao e todo dia que nos voltamos com uma segunda oferta, mas nos vemos potencial em voce. Nos creditamos que nossa parceria pode trazer um sucesso ainda maior aos seus empreendimentos. Pense com cuidado antes de tomar sua decisao desta vez.	Не кожен день ми повертаємося з повторною пропозицією, але ми бачимо у вас потенціал. Ми віримо, що наше партнерство може принести ще більший успіх вашим підприємствам. Подумайте добре, перш ніж прийняти рішення цього разу.	二度もお誘いするなんてことは滅多にないことなんだが、我々はあんたに可能性を感じているんだ。我々との協力関係は、あんたの事業にさらに大きな成功をもたらすはずだ。今回はよくよく考えてから決めてくださいよ。	우리가 두 번째 제안을 넣는 건 흔한 일이 아니지만, 댁한테서는 상당한 가능성이 보여서 말이야. 서로 손을 잡는다면 사업을 훨씬 더 키울 수 있을 거라니까. 이번에는 진지하게 생각해보고 결정하라고.	我们一般不给人第二次机会，但我们确实很欣赏你的潜力。我们相信，我们的合作能为您的企业带来更大的成功。请慎重考虑，再做决定。	我們一般不給人第二次機會，但我們確實很欣賞你的潛力。我們相信，我們的合作能為您的企業帶來更大的成功。請慎重考慮，再做決定。	These are yakuza lines.
1069	Doar dinheiro para caridade	Пожертвувати гроші на благодійність	慈善事業への寄付	자선 사업에 기부	慈善捐款	慈善捐款	UI
1070	Mais	Більше	額を増やす	늘리기	增加	增加	UI
1071	Menos	Менше	額を減らす	줄이기	减少	減少	UI
1072	Doar	Пожертвувати	寄付	기부	捐赠	捐贈	These are the lines of a bank employee.
1073	Quanto voce esta disposto a doar? #{defaultsum2}?	Скільки ви готові пожертвувати? #{defaultsum2}?	ご寄付はいくらになさいますか？#{defaultsum2}ですか？	정말 기부하시겠습니까? #재산에서 {defaultsum2}이 차감됩니다.	您愿意捐赠多少？#{defaultsum2}？	您願意捐贈多少？#{defaultsum2}？	These are the lines of a bank employee.
1074	Obrigado!	Дякую!	ありがとうございます！	감사합니다!	谢谢！	謝謝！	These are the lines of a bank employee.
1075	Parece que voce mesmo precisa de algumas doacoes.	Здається, вам і самим би не завадили пожертви.	ご自身に寄付が必要なようですね。	이거 자선은 고객님한테 더 필요하신 것 같은데요.	您这情况，我看还是先给自己捐点款吧。	您這情況，我看還是先給自己捐點款吧。	These are the lines of a bank employee.
1076	Pedimos desculpas, mas nao podemos lhe conceder um emprestimo. Parece que voce nao sera capaz de nos pagar de volta.	Вибачайте, але ми не можемо надати вам кредит. Здається, ви не зможете нам повернути гроші.	申し訳ございませんが、ローンはご利用いただけません。返済が難しいようです。	죄송합니다만 대출을 해드릴 수 없습니다. 대출금을 상환하시기 어려울 것 같습니다.	很抱歉，我们不能为您提供贷款。以您目前的状况，我们认为您不具备偿还能力。	很抱歉，我們不能為您提供貸款。以您目前的狀況，我們認為您不具備償還能力。	These are the lines of a bank employee.
1077	Ola, amigo. Percebemos que voce esta tendo dificuldades financeiras. Voce sabe, nos da familia sempre cuidamos dos nossos. Estamos dispostos a oferecer alguma assistencia financeira. Sem interesse, sem compromisso. So pedimos um pequeno favor em troca quando chegar a hora. O que voce diz?	Привіт, друже. Ми помітили, що у тебе скрутне фінансове становище. Ми в сім'ї завжди дбаємо про своїх. Тому хочемо запропонувати тобі фінансову допомогу. Без відсотків, без жодних умов. Ми просимо лише про невелику послугу, коли прийде час. Що скажеш?	お久しぶりですな。あんたが経済的に大変だって聞いたんだ。我々の間ではそんなときはお互いに面倒を見るんだ。分かるかい、あんたに資金を援助する用意がある。無利子、無条件でね。ただ、時が来たら、ちょっとした見返りをお願いしたい。どうだい？	안녕, 친구. 요새 돈 문제를 좀 겪고 있는 모양인데. 잘 알겠지만 우리는 항상 식구를 잘 챙겨 준다고. 그래서 우리 친구한테도 기꺼이 금전적인 도움을 주고 싶은데 말이야. 이자도 없고, 뒤끝도 없어. 나중에 보잘것없는 부탁만 하나 들어주면 돼. 어쩔래?	您好，朋友。我们注意到您的经济状况不太好。您知道，我们“家里人”向来是互相照应的。我们愿意为您提供一些经济援助。没有利息，没有附加条件，只要“将来有需要的时候”，你帮我们个小忙就行。	您好，朋友。我們注意到您的經濟狀況不太好。您知道，我們「家裡人」向來是互相照應的。我們願意為您提供一些經濟援助。沒有利息，沒有附加條件，只要「將來有需要的時候」，你幫我們個小忙就行。	These are yakuza lines.
1078	Excelente! Voce fez a escolha certa. Este e o comeco de um relacionamento frutifero. Manteremos contato.	Чудово! Ти зробив правильний вибір. Це початок плідної співпраці. Будемо на зв'язку.	そりゃ良かった！正しい選択だ。これは実りある関係の始まりだ。また連絡しますよ。	아주 좋아! 현명한 선택을 한 거야. 서로에게 알찬 관계가 시작된 거라고. 곧 연락하지.	好极了！您做出了正确的选择。这是一段高效的合作关系的开始。我们将保持联系。	好極了！您做出了正確的選擇。這是一段高效的合作關係的開始。我們將保持聯繫。	These are yakuza lines.
1079	Ah, que pena. Lembre-se, estamos sempre aqui se voce mudar de ideia. Em nossa linha de negocios, a lealdade e tudo. Nao se esqueca disso.	Дуже шкода. Але пам'ятай, ми завжди поруч, якщо ти передумаєш. У нашому бізнесі вірність - це все. Не забувай про це.	そりゃー残念だな。もし気が変わったらいつでも連絡くださいな。我々のビジネスでは忠誠心がすべてなんでね。そのこともお忘れなく。	아, 안타깝군. 그래도 마음이 바뀌면 언제든지 우리한테 연락하라고. 이 바닥에서는 의리가 전부니까 말이야. 잊지 마.	啊，太糟糕了。请记住，如果您改变主意，我们随时恭候。在我们这行，“忠诚”高于一切。你可别忘了。	啊，太糟糕了。請記住，如果您改變主意，我們隨時恭候。在我們這行，「忠誠」高於一切。你可別忘了。	These are yakuza lines.
1080	Cenario	Сценарій	シナリオ	시나리오	剧本	劇本	UI
1081	Modo livre	Вільний режим	フリーモード	자유 모드	自由模式	自由模式	UI
1082	Modo historia	Сюжетний режим	ストーリーモード	스토리 모드	故事模式	故事模式	UI
1083	O modo historia ainda nao esta disponivel no acesso antecipado. Fique atento para mais detalhes.	Сюжетний режим поки що недоступний у ранньому доступі. Слідкуйте за новинами.	ストーリーモードは、早期アクセスではまだご利用いただけません。詳細については今後の最新情報をお待ちください。	앞서 해보기에서는 아직 스토리 모드가 지원되지 않습니다. 자세한 내용은 추후에 공개됩니다.	故事模式尚未在早期访问中提供。更多详情，敬请期待。	故事模式尚未在早期訪問中提供。更多詳情，敬請期待。	UI
1084	Iniciar jogo	Почати гру	ゲーム開始	게임 시작	开始游戏	開始遊戲	UI
1085	Carregar jogo	Завантажити гру	ゲームのロード	불러오기	加载游戏	載入遊戲	UI
1086	Dificuldade	Складність	難易度	난이도	难度等级	難度等級	UI
1087	Facil	Легка	イージー	쉬움	简单	簡單	UI (Difficult level)
1088	Normal	Нормальна	ノーマル	보통	正常	正常	UI (Difficult level)
1089	Dificil	Важка	ハード	어려움	困难	困難	UI (Difficult level)
1090	Realistico	Реалістична	リアリスティック	현실적	现实	現實	UI (Difficult level)
1091	Personalizado	Нестандартна	カスタム	커스텀	自定义	自訂	UI (Difficult level)
1092	Dividendos	Дивіденди	配当金	배당금	股息	股息	UI (fine-tuning of the difficulty level)
1093	Lucro	Прибутки	利益	수익	利润	利潤	UI (fine-tuning of the difficulty level)
1094	Tolerancia ao estresse	Стресостійкість	ストレス耐性	스트레스 내성	耐受力	耐受力	UI (fine-tuning of the difficulty level)
1095	Empresas	Компаній	企業数	기업	公司	公司	UI (number of companies)
1096	Iniciar jogo	Почати гру	ゲーム開始	게임 시작	开始游戏	開始遊戲	UI
1097	Pequeno	Малий	小	적음	小	小	UI (size of dividends)
1098	Medio	Середній	中	적당	中	中	UI (size of dividends)
1099	Grande	Великий	大	많음	大	大	UI (size of dividends)
1100	Sensivel	Чутливий	敏感	예민	敏感	敏感	UI (Stress tolerance)
1101	Moderado	Помірний	ふつう	평범	中等	中等	UI (Stress tolerance)
1102	Resiliente	Стійкий	強い	무덤덤	坚韧	堅韌	UI (Stress tolerance)
1103	Inabalavel	Непохитний	頑強	불굴	顽强	頑強	UI (Stress tolerance)
1104	Uma vez por mes	Раз на місяць	月1回	1달에 한 번	每月一次	每月一次	UI
1105	Uma vez por ano	Раз на рік	年1回	1년에 한 번	每年一次	每年一次	UI
1106	Capital inicial	Стартовий капітал	起業資金	시작 자금	启动资金	啟動資金	UI
1107	Corretor de acoes	Біржовий брокер	株式ブローカー	주식 브로커	证券经纪人	證券經紀人	UI (profession)
1108	Agente imobiliario	Агент з нерухомості	不動産業者	부동산업자	房地产经纪人	房地產經紀人	UI (profession)
1109	Fotografo	Фотограф	写真家	사진사	摄影师	攝影師	UI (profession)
1110	Arquiteto	Архітектор	建築家	건축가	建筑师	建築師	UI (profession)
1111	Designer de moda	Дизайнер одягу	ファッションデザイナー	패션 디자이너	时装设计师	時裝設計師	UI (profession)
1112	Gerente de hotel	Менеджер готелю	ホテルマネージャー	호텔 매니저	酒店经理	酒店經理	UI (profession)
1113	Agente de viagens	Туристичний агент	旅行代理店	여행사 직원	旅行代理	旅行代理	UI (profession)
1114	Personal Trainer	Фітнес-тренер	フィットネストレーナー	PT 트레이너	健身教练	健身教練	UI (profession)
1115	Nutricionista	Дієтолог	栄養士	영양사	营养师	營養師	UI (profession)
1116	Terapeuta ocupacional	Ерготерапевт	作業療法士	작업 치료사	职业理疗师	職業理療師	UI (profession)
1117	Farmaceutico	Фармацевт	薬剤師	약사	药剂师	藥劑師	UI (profession)
1118	Veterinario	Ветеринарний лікар	獣医	수의사	兽医	獸醫	UI (profession)
1119	Designer grafico	Графічний дизайнер	グラフィックデザイナー	그래픽 디자이너	平面设计师	平面設計師	UI (profession)
1120	Perfil	Профіль	プロフィール	프로필	概况	概況	UI
1121	Feliz aniversario! Que este ano seja repleto de sucesso e felicidade!	Щиро вітаю з Днем народження! Нехай цей рік буде наповнений успіхом і щастям!	お誕生日おめでとうございます！今年が成功と幸せに満ちた年になりますように！	생일 축하합니다! 올해도 성공과 행복으로 가득하시기를!	生日快乐！愿今年充满成功和幸福！	生日快樂！願今年充滿成功和幸福！	Amy
1122	Desejando a voce um aniversario fantastico! Um brinde a mais um ano de lembrancas incriveis!	Бажаю вам казкового дня народження! За ще один рік дивовижних спогадів!	素敵な誕生日になりますように！今年も素晴らしい思い出ができますように！	멋진 생일이 되시길 바라요! 올해도 멋진 추억으로 가득하시길!	祝您生日快乐！为新的一年的美好回忆干杯！	祝您生日快樂！為新的一年的美好回憶乾杯！	Amy
1123	Feliz aniversario! Espero que seu dia especial seja repleto de amor e risadas!	З днем народження! Сподіваюся, ваш особливий день буде наповнений любов'ю і сміхом!	お誕生日おめでとうございます！この特別な日が愛と笑いで満たされますように！	생일 축하합니다! 이 특별한 날, 사랑과 웃음이 가득하시기를!	生日快乐！希望您的特别的日子充满爱和欢笑！	生日快樂！希望您的特別的日子充滿愛和歡笑！	Amy
1124	Feliz aniversario! Eu espero que este dia seja tao incrivel quanto voce!	З днем народження! Бажаю, щоб цей день був таким же неймовірним, як і ви!	お誕生日おめでとうございます！今日という日があなたと同じように素晴らしいものになりますように！	생일 축하합니다! 이 날이 사장님만큼 멋진 날이 되시길!	生日快乐！我希望今天，对您而言是与您同样不可思议的一天！	生日快樂！我希望今天，對您而言是與您同樣不可思議的一天！	Amy
1125	Um brinde ao seu aniversario! Que seja um ano repleto de alegria e prosperidade!	Вітаю вас з днем народження! За рік, сповнений радості та процвітання!	誕生日おめでとうございます！喜びと繁栄に満ちた一年になりますように！	생일 축하합니다! 기쁨과 성공으로 가득한 한 해 되시길!	生日快乐！祝愿新的一年充满欢乐和繁荣！	生日快樂！祝願新的一年充滿歡樂和繁榮！	Amy
1126	Te desejando uma celebracao fabulosa de aniversario! Aproveite o seu dia ao maximo!	Бажаю вам чудового святкування дня народження! Насолоджуйтесь своїм днем на повну!	素晴らしい誕生日祝いになりますように！今日は思いっきり楽しんでくださいね！	이렇게 멋진 생일을 축하합니다!  오늘을 마음껏 만끽하시길!	祝您生日快乐！尽情享受这美好的一天！	祝您生日快樂！盡情享受這美好的一天！	Amy
1127	Feliz aniversario! Que este ano seja o melhor ainda!	З днем народження! Нехай цей рік буде найкращим!	お誕生日おめでとうございます！今年も最高の年になりますように！	생일 축하합니다! 올해가 최고의 한 해 되시길!	生日快乐！愿今年是最好的一年！	生日快樂！願今年是最好的一年！	Amy
1128	Feliz aniversario! Eu espero que seu dia esteja repleto com todas as coisas que fazem voce sorrir!	З днем народження! Бажаю, щоб ваш день був наповнений усім тим, що змушує вас посміхатися!	お誕生日おめでとうございます！今日という日があなたを笑顔にするもので満たされますように！	생일 축하합니다! 일 년 내내 웃음만 가득하시길!	生日快乐！愿您今天被所有能让您微笑的事物所包围！	生日快樂！願您今天被所有能讓您微笑的事物所包圍！	Amy
1129	Feliz aniversario! Eu sei que as circunstancias nao sao ideais, mas estou aqui para te lembrar que voce nao esta sozinho. Vamos superar isso juntos e dias melhores nos aguardam. Seja forte.	З днем народження! Я знаю, що обставини не найкращі, але я тут, щоб нагадати вам, що ви не самотні. Ми пройдемо через це разом, і на нас чекають кращі дні. Тримайтеся.	お誕生日おめでとうございます！今の状況が理想的でないことはわかっています。でも、あなたは一人ではないことを思い出してください。一緒にこれを乗り切りましょう。きっとより良い日々が待っています。だから、気を強くもってください。	생일 축하합니다! 지금 상황이 밝지만은 않지만, 그래도 사장님이 혼자가 아니라는 걸 알려 드리고 싶어서 왔어요. 우리는 함께 이겨낼 수 있어요. 더 밝은 날이 기다리고 있을 거예요. 기운 내세요.	生日快乐！我知道这些情况并不理想，但我要提醒您，您并不孤单。我们会一起渡过难关，更好的日子在等着我们。坚强起来。	生日快樂！我知道這些情況並不理想，但我要提醒您，您並不孤單。我們會一起渡過難關，更好的日子在等著我們。堅強起來。	Amy
1130	Feliz aniversario! Eu sei que e dificil comemorar no hospital, mas estou aqui para te trazer alegria e votos de melhoras. Vamos compensar isso quando voce estiver de pe. Melhore logo!	З днем народження! Я знаю, що в лікарні важко святкувати, але я тут, щоб принести вам трохи підбадьорення і побажати всього найкращого. Ми надолужимо згаяне, коли ви підніметеся на ноги. Одужуйте скоріше!	お誕生日おめでとうございます！病院でお祝いするのは大変だと思いますが、あなたに元気と幸せを届けに来ました。全快したら今日の埋め合わせをしましょうね。だから早く元気になってください！	생일 축하합니다! 병원에서 생일을 맞으니 좀 기운 빠지시기는 하겠지만, 그래도 응원도 해 드리고 소원도 빌어드릴 겸 왔어요. 사장님이 다시 건강을 되찾으시면 우리도 분명 제 궤도로 돌아갈 수 있을 거예요. 빨리 나으세요!	生日快乐！我知道在医院里庆祝生日很不容易，但我还是来给您带来一些欢乐和祝福。等您康复出院了，我们再为您好好地补办一次。祝您早日康复！	生日快樂！我知道在醫院裡慶祝生日很不容易，但我還是來給您帶來一些歡樂和祝福。等您康復出院了，我們再為您好好地補辦一次。祝您早日康復！	Amy
1131	Vamos comemorar!	Йдемо святкувати!	さあ、お祝いしましょう！	그럼 축하하러 가요!	我们去庆祝吧！	我們去慶祝吧！	Amy
1132	Apenas um pequeno solavanco na estrada, voce estara de volta aos trilhos em breve.	Це лише невелика перешкода на шляху. Скоро ти повернешся до справи!	こんなの道のちょっとしたデコボコみたいなものですよ。またすぐに元の道に戻れます。	살짝 길이 울퉁불퉁하더라도 곧 제 궤도로 돌아오실 수 있을 거예요.	这只是人生路上的一点小颠簸，您很快就能重回正轨的。	這只是人生路上的一點小顛簸，您很快就能重回正軌的。	Amy
1133	Eu acredito em voce e na sua capacidade de se recuperar.	Я вірю в тебе і твою здатність до зцілення.	私はあなたと、そしてあなたの回復力を信じています。	사장님과 사장님의 회복력을 믿어요.	我相信您，也相信您的自愈能力。	我相信您，也相信您的自癒能力。	Amy
1134	Leve um dia de cada vez e voce ficara melhor em breve.	Потроху, день за днем, і ви швидко одужаєте.	一歩ずつ確実に進んでいきましょう。そうすれば、必ず良くなりますよ。	한 걸음, 한 걸음을 확실하게 내디디시면 반드시 좋아지실 거예요.	别着急，慢慢来，一天会比一天好的。	別著急，慢慢來，一天會比一天好的。	Amy
1135	Seja forte e lembre-se que estou aqui para voce.	Будьте сильними і пам'ятайте, що я поруч.	気を強くもって、私がここにいることを忘れないで。	기운 내세요. 항상 제가 있다는 점 잊지 마시고요.	坚强起来，记住有我在。	堅強起來，記住有我在。	Amy
